,expected,predicted
1089,0,0
452,1,1
1323,0,0
1549,0,0
995,0,0
2354,1,1
904,0,0
229,1,1
2055,0,0
1080,0,0
545,1,1
1492,0,0
919,1,0
2177,0,0
1232,0,0
1575,0,0
129,1,1
1539,0,0
1442,0,0
337,1,1
1124,0,0
1554,0,0
312,1,1
1237,0,0
1373,0,0
2162,0,0
438,1,1
1274,0,0
248,1,1
857,1,1
1056,0,0
56,1,1
123,1,1
1052,0,0
2032,0,0
1268,0,0
1706,0,0
1577,0,0
2199,1,1
1398,0,0
289,1,1
375,1,1
2350,1,1
305,1,1
1678,0,0
69,1,1
1839,0,0
1682,0,0
2530,1,1
166,1,1
207,1,1
2468,0,0
1916,0,0
1917,0,0
462,1,1
2318,0,0
2044,0,0
891,0,0
1990,0,0
1139,0,0
1523,0,0
2355,1,0
1677,0,0
1973,0,0
1244,0,0
996,0,0
1508,0,0
174,1,1
184,1,1
658,0,0
1,1,0
930,0,0
1875,0,0
440,1,1
1062,0,0
563,1,1
1412,0,0
1444,0,0
298,1,1
2427,0,0
296,1,1
808,1,1
1077,0,0
1371,0,0
315,1,1
2546,1,0
1622,0,0
2282,0,0
792,1,1
1676,0,0
1518,0,0
1652,0,0
2122,1,0
1497,0,0
1709,0,0
1032,0,0
499,1,1
1372,0,0
243,1,1
2264,0,0
1593,1,0
766,1,1
1147,0,0
146,1,1
1276,0,0
2067,0,0
849,1,1
1545,0,0
2076,1,0
758,1,1
597,1,1
1028,0,0
1267,0,0
96,1,1
2022,0,0
88,1,1
1387,0,0
1712,0,0
2073,0,0
1967,1,1
1150,0,0
1880,0,0
1265,0,0
114,1,1
1484,0,0
1514,0,0
673,0,0
2391,0,0
1771,0,0
134,1,1
2519,1,1
2338,0,0
2400,0,0
53,1,1
136,1,1
513,1,1
83,1,1
1825,0,0
509,1,1
1320,0,0
1624,0,0
1726,0,0
1543,0,0
415,1,1
2460,0,0
1034,0,0
1002,0,0
2119,0,0
1020,0,0
1770,0,0
2481,0,0
1040,0,0
2169,1,0
365,1,1
481,1,1
1720,0,0
590,1,1
1490,0,0
282,1,1
1031,0,0
65,1,1
2274,1,0
1968,1,1
459,1,1
1130,0,0
843,1,1
16,0,0
118,1,1
527,1,1
47,1,1
2281,1,0
1447,0,0
738,0,0
710,0,0
204,1,1
659,0,0
2001,0,0
608,1,1
373,1,1
155,1,1
139,1,1
2430,0,0
524,1,1
2509,1,0
17,0,0
577,1,1
1757,0,0
1393,0,0
1840,0,0
1200,0,0
274,1,1
2442,1,0
2150,0,0
2257,0,0
67,1,1
2087,0,0
868,1,1
46,1,1
1374,0,0
1755,0,0
1065,0,0
1988,0,0
194,1,1
1722,0,0
1489,0,0
1628,0,0
281,1,1
555,1,1
1271,0,0
1426,0,0
1195,0,0
1886,0,0
1956,1,1
2192,1,1
1104,0,0
896,0,0
1161,0,0
2011,1,0
1632,0,0
290,1,1
1403,0,0
2471,0,0
1391,0,0
2395,0,0
548,1,1
1058,0,0
2014,1,1
2178,0,0
1810,0,0
1976,1,0
1383,0,0
865,1,1
241,1,1
1963,1,1
869,1,0
1528,0,0
1887,0,0
302,1,1
1179,0,0
716,0,0
1772,0,0
485,1,1
1666,0,0
105,1,1
1911,0,0
392,1,1
2187,1,1
1256,0,0
236,1,1
1746,0,0
1884,0,0
57,1,1
2326,0,0
2380,1,1
7,0,0
2088,0,0
1477,0,0
2203,0,0
717,0,0
1863,0,0
568,1,1
1189,0,0
1860,0,0
153,1,1
1741,0,0
2267,1,0
2317,0,0
973,0,0
583,1,1
60,1,1
525,1,1
1229,0,0
1541,0,0
2048,0,0
2383,0,0
1471,0,0
1638,0,0
1277,0,0
799,1,1
557,1,1
2080,0,0
1957,1,1
2161,0,0
1782,0,0
2035,0,0
2307,0,0
687,0,0
369,1,1
1687,0,0
2109,0,0
295,1,1
1086,0,0
182,1,1
1767,0,0
380,1,1
138,1,1
2058,0,0
2349,1,1
1592,1,1
345,1,1
773,1,1
1041,0,0
1015,0,0
1443,0,0
584,1,1
2098,0,0
1962,1,1
29,1,1
988,0,0
861,0,1
28,1,1
1153,0,0
543,1,1
1352,0,0
1355,0,0
680,0,0
535,1,1
267,1,1
1542,0,0
2279,0,0
222,1,1
42,1,1
454,1,1
221,1,1
1992,0,0
565,1,1
945,0,0
1525,0,0
1073,0,0
1867,0,0
458,1,1
167,1,1
1951,0,1
359,1,1
1874,0,0
2322,0,0
2078,0,0
1215,0,0
466,1,1
1175,0,0
1395,0,0
1756,0,0
470,1,1
1306,0,0
1681,0,0
1424,0,0
536,1,0
1527,0,0
1309,0,0
2121,0,0
384,1,1
362,1,1
741,1,0
1778,0,0
1145,0,0
2528,1,1
1587,1,0
463,1,1
823,1,1
186,1,1
329,1,1
2303,1,0
2300,0,0
125,1,1
304,1,1
1822,0,0
1954,1,1
2286,0,0
1806,0,0
1241,0,0
1739,0,0
1044,0,0
894,0,0
1199,0,0
2498,0,0
957,1,0
581,1,1
1686,0,0
50,1,1
2356,0,0
550,1,1
1072,0,0
2315,0,0
1457,0,0
402,0,0
2387,0,0
162,1,1
2252,0,0
927,0,0
867,0,1
1724,0,0
2033,0,0
256,1,1
389,1,1
1907,0,0
2402,0,0
1515,0,0
810,1,1
1314,0,0
366,1,1
2056,0,0
1914,0,0
1784,0,0
1003,0,0
1552,0,0
2520,1,1
1007,0,0
331,1,1
2145,0,0
2298,0,0
2030,0,0
923,0,0
2521,1,1
1299,0,0
1895,0,0
376,1,1
1639,0,0
2137,0,0
2018,0,0
1580,1,0
605,1,1
1038,0,0
1125,0,0
793,1,1
2508,1,0
632,0,0
2159,1,1
2527,1,1
132,1,1
1257,0,0
314,1,1
1250,0,0
1821,0,0
1896,0,0
1035,1,0
1018,0,0
2285,0,0
1974,0,0
1390,0,0
163,1,1
1460,0,0
1183,0,0
357,1,1
1448,0,0
786,1,1
2496,0,1
2275,0,1
633,0,0
779,1,1
1562,0,0
1614,0,0
2176,0,0
1616,0,0
641,0,0
2218,0,0
579,1,1
95,1,1
606,1,1
2331,0,0
2332,1,0
781,1,1
1240,0,0
1995,0,0
1461,0,0
679,0,0
1234,0,0
2142,0,0
2222,0,0
2305,0,0
1644,0,0
2209,1,1
